param f :=
  10   334
  53   323
  34   309
  33   308
  5   308
  37   307
  42   303
  30   302
  38   302
  32   302
  43   301
  35   300
  11   300
  17   299
  46   299
  4   299
  44   299
  27   298
  23   298
  41   296
  56   296
  54   295
  16   295
  28   294
  13   293
  49   289
  36   289
  51   288
  29   287
  25   286
  6   285
  52   285
  2   283
  24   283
  50   281
  45   281
  20   281
  8   280
  1   279
  59   278
  58   277
  19   276
  14   276
  57   275
  39   274
  60   273
  47   273
  12   271
  18   271
  7   270
  9   267
  40   266
  3   265
  31   263
  48   263
  22   255
  15   246
  55   244
  21   239
  26   235
;
